GeneID	gene_name	GSM1480291	GSM1480292	GSM1480293	GSM1480294	GSM1480295	GSM1480296	GSM1480297	GSM1480298	GSM1480299	GSM1480300	GSM1480301	GSM1480302
73569	Vgll3	1	8	3	6	0	5	296	384	1083	1345	929	833
73571	1700096K18Rik	29	22	17	24	20	17	22	18	27	31	37	32
73575	1700101O22Rik	0	0	0	0	0	0	0	0	0	0	0	0
73576	1700092E19Rik	0	0	0	0	0	0	0	0	0	0	0	0
73582	Camkmt	102	111	87	67	44	28	99	89	89	104	61	72
73584	1700100L14Rik	0	2	0	1	0	0	2	0	0	0	0	0
73585		2	2	0	0	0	0	0	0	0	0	0	0
73588	St8sia3os	0	0	0	0	0	0	0	0	0	0	0	0
73590	1700112H15Rik	0	0	0	0	0	0	0	0	0	0	0	0
73591	1700109I08Rik	0	0	0	0	0	0	0	0	0	0	0	0
73598	1700001O22Rik	121	134	65	57	190	211	23	28	20	20	20	23
73600	1700120C14Rik	3	4	1	4	2	1	3	3	4	2	2	6
73603	Trp53tg5	7	6	7	2	2	1	18	12	12	10	15	12
73606	1700120E14Rik	0	0	1	0	0	0	0	0	0	0	0	0
73608	Marveld3	781	873	978	944	705	737	100	102	95	55	60	63
73609	1700125H03Rik	0	0	1	1	0	0	0	1	0	0	0	1
73610	Zfp433	140	154	70	60	39	54	74	72	39	37	46	53
73614	Rhox13	0	0	0	0	0	0	0	0	0	0	0	0
73616	Pldi	0	0	0	0	0	0	0	0	0	0	0	0
73617	1700122H20Rik	77	78	110	100	42	38	53	83	50	50	44	48
73619	1700122E12Rik	1	1	0	3	1	2	0	1	0	1	0	2
73624	1700123O12Rik	0	0	0	0	0	0	0	0	0	0	0	0
73626	1810009J06Rik	0	0	0	0	0	0	0	0	0	0	0	0
73628	1700125G02Rik	0	0	0	0	0	0	0	0	0	0	0	0
73631	1700128A07Rik	0	0	0	0	0	0	0	0	0	0	0	0
73634	Chct1	0	0	1	0	0	0	1	0	0	1	1	1
73635	Ptges3l	74	88	26	29	162	174	94	93	143	107	112	118
73639	1700126H18Rik	0	0	0	0	0	0	0	0	0	0	0	0
73644	2210039B01Rik	6	8	4	2	2	1	0	0	0	0	0	0
73647	Capn9	9	14	8	6	1	2	0	0	1	0	1	0
73648	2410012E07Rik	0	0	0	0	0	0	0	0	0	0	0	0
73649	Cybrd1	520	208	36	81	10	6	85	95	65	56	31	23
73652	2210408F21Rik	26	23	6	17	19	27	12	16	13	35	30	24
73656	Ms4a6c	1	3	2	4	2	2	2	3	14	6	4	0
73658	Spns1	697	894	983	893	505	465	823	717	697	630	597	658
73660	Cabp4	6	7	4	2	1	0	7	3	2	11	6	7
73666	Thoc3	712	702	712	558	423	465	503	468	369	280	224	233
73667	2410004P03Rik	3	5	3	7	1	0	11	10	3	7	5	5
73668	Ttc21b	442	392	193	180	153	134	607	550	615	580	667	682
73670	Defb30	0	0	0	1	1	0	0	0	0	0	0	0
73671	Sult6b1	2	4	10	4	1	4	6	6	4	6	2	6
73673	Rec114	34	45	60	101	48	56	86	122	32	37	154	164
73674	Wdr75	1002	879	585	441	257	293	981	860	917	711	474	442
73677	Psma8	0	0	0	0	0	1	3	0	0	0	1	0
73679	Tex19.1	0	1	0	5	0	1	4	1	0	0	1	1
73680	Zbtb8a	496	814	242	144	159	140	98	73	92	65	111	156
73681	Trmt11	212	232	172	111	90	90	240	159	205	141	146	178
73683	Atg16l2	422	455	476	417	92	76	418	333	348	265	290	292
73689	Bloc1s2	175	210	162	172	63	67	77	60	51	34	24	33
73690	Glipr1	1	1	5	2	2	1	15	29	60	37	30	38
73692	Cplane1	514	652	303	259	118	113	1378	1459	997	1047	1399	1338
73693	Dppa4	0	0	0	0	0	0	0	0	0	0	0	0
73694	Ndufaf7	306	273	269	222	161	137	230	138	255	234	265	280
73696	Platr9	0	0	0	0	1	0	1	2	0	0	1	0
73699	Ppp2r1b	1025	913	762	706	439	476	1584	1533	1511	1291	1153	975
73703	Dppa2	0	0	1	0	0	0	1	0	0	0	0	0
73707	Gucy2g	32	29	8	9	6	8	6	8	2	3	0	0
73708	Dppa3	0	0	0	0	0	0	0	0	0	0	0	0
73710	Tubb2b	725	809	735	1081	88	79	533	422	207	187	273	273
73711	Mvb12a	1237	1235	1072	852	619	544	575	476	468	453	425	424
73712	Dmkn	346	896	690	715	221	165	31	49	33	29	9	3
73713	Rbm20	1029	2713	120	97	213	197	143	143	144	191	254	204
73719	Lce1c	0	4	0	0	0	0	0	1	0	0	0	0
73720	Cst6	8	10	5	5	3	1	3	8	3	0	2	1
73721	Spmip6	21	17	4	1	2	1	21	14	5	8	16	8
73722	Lce1a2	0	0	0	0	0	0	0	0	0	0	0	0
73723	Sh3bgrl3	508	528	459	397	137	129	441	449	451	470	499	418
73724	Mcee	461	412	470	441	223	201	308	400	353	380	430	391
